Day of Week,Month,Day,Year,Time,D/N,HomeTeam,Attendance
Tuesday,Apr,11,2017,2:54,N,MIA,36519
Wednesday,Apr,12,2017,2:51,N,MIA,16808
Friday,Apr,14,2017,2:57,N,ATL,41149
Saturday,Apr,15,2017,2:20,N,ATL,41149
Sunday,Apr,16,2017,2:46,D,ATL,37147
Monday,Apr,17,2017,2:48,N,ATL,24516
Tuesday,Apr,18,2017,3:09,N,ATL,21834
Wednesday,Apr,19,2017,3:32,N,ATL,22101
Thursday,Apr,20,2017,2:41,N,ATL,27498
Monday,May,1,2017,3:00,N,ATL,21668
Tuesday,May,2,2017,2:55,N,ATL,21359
Wednesday,May,3,2017,3:34,N,ATL,22656
Friday,May,5,2017,3:13,N,ATL,34465
Saturday,May,6,2017,2:59,N,ATL,40706
Sunday,May,7,2017,4:06,D,ATL,40200
Tuesday,May,9,2017,2:41,N,HOU,28724
Wednesday,May,10,2017,2:49,D,HOU,23676
Friday,May,12,2017,3:11,N,MIA,20052
Saturday,May,13,2017,2:49,N,MIA,26692
Sunday,May,14,2017,2:27,D,MIA,17277
Wednesday,May,17,2017,2:59,N,ATL,28293
Thursday,May,18,2017,3:02,N,ATL,25419
Friday,May,19,2017,3:32,N,ATL,35369
Saturday,May,20,2017,3:20,D,ATL,37347
Sunday,May,21,2017,2:50,D,ATL,32895
Monday,May,22,2017,3:23,N,ATL,21896
Tuesday,May,23,2017,3:03,N,ATL,25040
Wednesday,May,24,2017,4:02,N,ATL,25981
Thursday,May,25,2017,2:41,D,ATL,33713
Monday,Jun,5,2017,3:18,N,ATL,20942
Tuesday,Jun,6,2017,2:42,N,ATL,23489
Wednesday,Jun,7,2017,2:58,N,ATL,24185
Thursday,Jun,8,2017,2:40,N,ATL,25095
Friday,Jun,9,2017,3:11,N,ATL,36791
Saturday,Jun,10,2017,3:05,D,ATL,27684
Saturday,Jun,10,2017,2:41,N,ATL,40174
Sunday,Jun,11,2017,3:01,D,ATL,30638
Friday,Jun,16,2017,2:44,N,ATL,38123
Saturday,Jun,17,2017,3:48,D,ATL,38661
Sunday,Jun,18,2017,2:53,D,ATL,36912
Monday,Jun,19,2017,2:46,N,ATL,24723
Tuesday,Jun,20,2017,2:56,N,ATL,23823
Wednesday,Jun,21,2017,3:16,N,ATL,25771
Thursday,Jun,22,2017,3:37,N,ATL,25521
Friday,Jun,23,2017,3:18,N,ATL,30521
Saturday,Jun,24,2017,2:57,D,ATL,38463
Sunday,Jun,25,2017,3:01,D,ATL,31634
Tuesday,Jul,4,2017,3:39,N,ATL,41456
Wednesday,Jul,5,2017,3:21,N,ATL,37278
Friday,Jul,14,2017,3:02,N,ATL,38852
Saturday,Jul,15,2017,3:28,N,ATL,41627
Sunday,Jul,16,2017,2:47,D,ATL,36637
Monday,Jul,17,2017,3:17,N,ATL,41256
Tuesday,Jul,18,2017,3:01,N,ATL,41541
Wednesday,Jul,19,2017,3:05,D,ATL,40054
Tuesday,Aug,1,2017,2:54,N,ATL,32174
Wednesday,Aug,2,2017,2:55,N,ATL,28107
Thursday,Aug,3,2017,3:29,N,ATL,29680
Friday,Aug,4,2017,2:40,N,ATL,35914
Saturday,Aug,5,2017,2:58,N,ATL,40731
Sunday,Aug,6,2017,2:29,D,ATL,29651
Tuesday,Aug,8,2017,2:58,N,ATL,25783
Wednesday,Aug,9,2017,2:55,N,ATL,22776
Friday,Aug,18,2017,3:09,N,ATL,31174
Saturday,Aug,19,2017,3:35,N,ATL,39317
Sunday,Aug,20,2017,3:11,D,ATL,25758
Monday,Aug,21,2017,2:59,N,ATL,21284
Tuesday,Aug,22,2017,3:01,N,ATL,22947
Wednesday,Aug,23,2017,3:07,N,ATL,23890
Friday,Aug,25,2017,2:32,N,ATL,33577
Saturday,Aug,26,2017,3:24,N,ATL,32448
Sunday,Aug,27,2017,3:09,D,ATL,28154
Monday,Sep,4,2017,2:50,N,ATL,23474
Wednesday,Sep,6,2017,3:30,D,ATL,19971
Wednesday,Sep,6,2017,3:03,N,ATL,20364
Thursday,Sep,7,2017,3:23,N,ATL,23561
Friday,Sep,8,2017,3:16,N,ATL,30056
Saturday,Sep,9,2017,3:21,N,ATL,34043
Sunday,Sep,10,2017,3:47,D,ATL,34974
Friday,Sep,15,2017,3:05,N,ATL,29402
Saturday,Sep,16,2017,2:45,N,ATL,37846
Sunday,Sep,17,2017,2:59,D,ATL,32785
Tuesday,Sep,19,2017,3:01,N,ATL,26709
Wednesday,Sep,20,2017,2:51,N,ATL,25054
Thursday,Sep,21,2017,2:18,N,ATL,32702
Friday,Sep,22,2017,2:56,N,ATL,33702
Saturday,Sep,23,2017,2:50,N,ATL,39809
Sunday,Sep,24,2017,2:38,D,ATL,33183
Thursday,Sep,28,2017,3:06,N,MIA,17305
Friday,Sep,29,2017,3:08,N,MIA,19527
Saturday,Sep,30,2017,2:59,N,MIA,25264
Sunday,Oct,1,2017,3:19,D,MIA,25222
Thursday,Mar,29,2018,3:28,D,ATL,40208
Friday,Mar,30,2018,4:16,N,ATL,35123
Saturday,Mar,31,2018,3:21,N,ATL,37777
Monday,Apr,2,2018,2:55,N,ATL,25054
Tuesday,Apr,3,2018,3:10,N,ATL,26782
Wednesday,Apr,4,2018,3:06,D,ATL,29834
Monday,Apr,16,2018,2:40,N,ATL,17812
Tuesday,Apr,17,2018,3:36,N,ATL,17913
Wednesday,Apr,18,2018,3:08,N,ATL,22135
Thursday,Apr,19,2018,3:00,N,ATL,23610
Friday,Apr,20,2018,3:51,N,ATL,39016
Saturday,Apr,21,2018,3:07,N,ATL,41396
Friday,May,4,2018,2:45,N,ATL,41807
Saturday,May,5,2018,2:58,N,ATL,38264
Sunday,May,6,2018,3:09,D,ATL,37896
Thursday,May,10,2018,3:00,N,MIA,8277
Friday,May,11,2018,2:42,N,MIA,9149
Saturday,May,12,2018,3:26,N,MIA,12383
Sunday,May,13,2018,2:50,D,MIA,7435
Tuesday,May,15,2018,2:51,N,ATL,34452
Wednesday,May,16,2018,2:55,N,ATL,28264
Friday,May,18,2018,2:36,N,ATL,27705
Saturday,May,19,2018,2:28,N,ATL,37715
Sunday,May,20,2018,3:19,D,ATL,28352
Monday,May,28,2018,3:05,D,ATL,32377
Monday,May,28,2018,3:21,N,ATL,31779
Tuesday,May,29,2018,3:11,N,ATL,19443
Wednesday,May,30,2018,2:42,N,ATL,21449
Thursday,May,31,2018,2:39,N,ATL,22380
Friday,Jun,1,2018,2:24,N,ATL,33845
Saturday,Jun,2,2018,4:00,D,ATL,39578
Sunday,Jun,3,2018,2:47,D,ATL,33132
Tuesday,Jun,12,2018,2:45,N,ATL,29892
Wednesday,Jun,13,2018,2:12,D,ATL,32015
Thursday,Jun,14,2018,2:26,N,ATL,25250
Friday,Jun,15,2018,2:50,N,ATL,41497
Saturday,Jun,16,2018,2:19,N,ATL,41916
Sunday,Jun,17,2018,3:10,D,ATL,40251
Friday,Jun,22,2018,5:21,N,ATL,37192
Saturday,Jun,23,2018,3:08,D,ATL,40333
Sunday,Jun,24,2018,2:54,D,ATL,33794
Monday,Jun,25,2018,3:45,N,ATL,27851
Tuesday,Jun,26,2018,3:20,N,ATL,28356
Wednesday,Jun,27,2018,3:01,D,ATL,30207
Tuesday,Jul,10,2018,2:58,N,ATL,31747
Wednesday,Jul,11,2018,2:58,N,ATL,27839
Friday,Jul,13,2018,3:05,N,ATL,42130
Saturday,Jul,14,2018,2:53,D,ATL,40862
Sunday,Jul,15,2018,2:42,D,ATL,27323
Monday,Jul,23,2018,2:48,N,MIA,8259
Tuesday,Jul,24,2018,2:37,D,MIA,21673
Thursday,Jul,26,2018,2:55,N,ATL,40706
Friday,Jul,27,2018,2:51,N,ATL,41647
Saturday,Jul,28,2018,3:22,N,ATL,41758
Sunday,Jul,29,2018,2:47,D,ATL,40303
Monday,Jul,30,2018,2:49,N,ATL,21230
Tuesday,Jul,31,2018,2:53,N,ATL,18627
Friday,Aug,10,2018,2:59,N,ATL,36519
Saturday,Aug,11,2018,2:42,N,ATL,40297
Sunday,Aug,12,2018,3:19,D,ATL,25360
Monday,Aug,13,2018,2:39,D,ATL,16049
Monday,Aug,13,2018,2:58,N,ATL,18186
Tuesday,Aug,14,2018,2:52,N,ATL,19409
Wednesday,Aug,15,2018,2:50,N,ATL,19045
Thursday,Aug,16,2018,2:53,N,ATL,23428
Friday,Aug,17,2018,3:37,N,ATL,28964
Saturday,Aug,18,2018,3:31,N,ATL,42143
Sunday,Aug,19,2018,2:41,D,ATL,33942
Thursday,Aug,23,2018,3:00,N,MIA,6587
Friday,Aug,24,2018,2:48,N,MIA,7792
Saturday,Aug,25,2018,2:54,N,MIA,7823
Sunday,Aug,26,2018,3:16,D,MIA,12770
Tuesday,Aug,28,2018,3:10,N,ATL,21216
Wednesday,Aug,29,2018,3:06,N,ATL,20876
Thursday,Aug,30,2018,2:42,N,ATL,37603
Friday,Aug,31,2018,2:55,N,ATL,36650
Saturday,Sep,1,2018,2:53,N,ATL,33705
Sunday,Sep,2,2018,2:44,N,ATL,37475
Monday,Sep,3,2018,3:40,D,ATL,40394
Tuesday,Sep,4,2018,3:03,N,ATL,35333
Wednesday,Sep,5,2018,3:44,D,ATL,28386
Friday,Sep,14,2018,3:54,N,ATL,39268
Saturday,Sep,15,2018,3:41,D,ATL,36050
Sunday,Sep,16,2018,3:15,D,ATL,33403
Monday,Sep,17,2018,3:38,N,ATL,24304
Tuesday,Sep,18,2018,3:18,N,ATL,23083
Wednesday,Sep,19,2018,3:09,D,ATL,25195
Thursday,Sep,20,2018,3:25,N,ATL,27474
Friday,Sep,21,2018,3:24,N,ATL,34370
Saturday,Sep,22,2018,2:38,D,ATL,35616
Sunday,Sep,23,2018,2:43,D,ATL,34214
Monday,Apr,1,2019,3:12,N,ATL,41912
Wednesday,Apr,3,2019,3:32,N,ATL,37398
Thursday,Apr,4,2019,3:29,N,ATL,33815
Friday,Apr,5,2019,2:35,N,ATL,29218
Saturday,Apr,6,2019,3:16,N,ATL,35618
Sunday,Apr,7,2019,2:33,D,ATL,32551
Thursday,Apr,11,2019,3:14,N,ATL,24015
Friday,Apr,12,2019,3:07,N,ATL,33334
Saturday,Apr,13,2019,3:34,N,ATL,40117
Sunday,Apr,14,2019,3:36,N,ATL,23385
Tuesday,Apr,16,2019,3:36,N,ATL,22407
Wednesday,Apr,17,2019,3:32,N,ATL,22356
Thursday,Apr,18,2019,3:25,D,ATL,24193
Friday,Apr,26,2019,3:21,N,ATL,40282
Saturday,Apr,27,2019,2:58,N,ATL,38243
Sunday,Apr,28,2019,3:47,D,ATL,33919
Monday,Apr,29,2019,2:33,N,ATL,19353
Tuesday,Apr,30,2019,2:42,N,ATL,18626
Wednesday,May,1,2019,2:39,N,ATL,20394
Thursday,May,2,2019,2:53,D,ATL,23746
Friday,May,3,2019,3:08,N,MIA,7198
Saturday,May,4,2019,3:15,N,MIA,10229
Sunday,May,5,2019,3:29,D,MIA,11885
Tuesday,May,14,2019,3:00,N,ATL,23718
Wednesday,May,15,2019,2:40,N,ATL,23367
Thursday,May,16,2019,3:16,N,ATL,28783
Friday,May,17,2019,3:25,N,ATL,36222
Saturday,May,18,2019,3:34,N,ATL,39121
Sunday,May,19,2019,2:44,D,ATL,36548
Tuesday,May,28,2019,3:21,N,ATL,27573
Wednesday,May,29,2019,3:11,N,ATL,37726
Friday,May,31,2019,2:52,N,ATL,35524
Saturday,Jun,1,2019,2:51,D,ATL,37108
Sunday,Jun,2,2019,3:18,D,ATL,28978
Friday,Jun,7,2019,2:42,N,MIA,8589
Saturday,Jun,8,2019,2:57,D,MIA,9771
Sunday,Jun,9,2019,4:26,D,MIA,10959
Monday,Jun,10,2019,3:35,N,ATL,21822
Tuesday,Jun,11,2019,3:15,N,ATL,31305
Wednesday,Jun,12,2019,4:17,N,ATL,24428
Thursday,Jun,13,2019,3:30,D,ATL,35108
Friday,Jun,14,2019,3:30,N,ATL,41975
Saturday,Jun,15,2019,3:55,N,ATL,43593
Sunday,Jun,16,2019,3:09,D,ATL,40855
Monday,Jun,17,2019,3:05,N,ATL,24660
Tuesday,Jun,18,2019,3:04,N,ATL,24971
Wednesday,Jun,19,2019,3:03,N,ATL,37104
Tuesday,Jul,2,2019,2:48,N,ATL,40180
Wednesday,Jul,3,2019,2:36,N,ATL,40147
Thursday,Jul,4,2019,3:32,N,ATL,40633
Friday,Jul,5,2019,3:00,N,ATL,41102
Saturday,Jul,6,2019,3:19,D,ATL,37216
Sunday,Jul,7,2019,3:02,D,ATL,30514
Thursday,Jul,18,2019,3:44,N,ATL,39363
Friday,Jul,19,2019,3:30,N,ATL,39344
Saturday,Jul,20,2019,3:14,N,ATL,42467
Sunday,Jul,21,2019,3:02,N,ATL,31848
Tuesday,Jul,23,2019,3:30,N,ATL,36570
Wednesday,Jul,24,2019,2:43,N,ATL,38865
Thursday,Aug,1,2019,2:08,N,ATL,28677
Friday,Aug,2,2019,3:01,N,ATL,37743
Saturday,Aug,3,2019,3:47,N,ATL,42085
Sunday,Aug,4,2019,3:54,D,ATL,33083
Thursday,Aug,8,2019,3:04,N,MIA,8948
Friday,Aug,9,2019,3:19,N,MIA,8057
Saturday,Aug,10,2019,3:34,N,MIA,29720
Sunday,Aug,11,2019,3:23,D,MIA,12338
Tuesday,Aug,13,2019,3:18,N,ATL,27627
Wednesday,Aug,14,2019,3:15,N,ATL,23582
Thursday,Aug,15,2019,3:33,N,ATL,25424
Friday,Aug,16,2019,3:06,N,ATL,41413
Saturday,Aug,17,2019,3:17,N,ATL,43619
Sunday,Aug,18,2019,3:11,D,ATL,37617
Tuesday,Aug,20,2019,3:00,N,ATL,21271
Wednesday,Aug,21,2019,2:44,N,ATL,23537
Thursday,Aug,22,2019,2:40,N,ATL,23967
Friday,Aug,30,2019,3:28,N,ATL,39097
Saturday,Aug,31,2019,3:52,N,ATL,36664
Sunday,Sep,1,2019,3:08,N,ATL,41397
Monday,Sep,2,2019,2:52,D,ATL,28987
Tuesday,Sep,3,2019,2:46,N,ATL,25427
Thursday,Sep,5,2019,2:57,N,ATL,28831
Friday,Sep,6,2019,3:20,N,ATL,37181
Saturday,Sep,7,2019,3:29,N,ATL,40467
Sunday,Sep,8,2019,3:16,D,ATL,31789
Tuesday,Sep,17,2019,3:26,N,ATL,28843
Wednesday,Sep,18,2019,2:59,N,ATL,27937
Thursday,Sep,19,2019,3:10,D,ATL,33223
Friday,Sep,20,2019,2:21,N,ATL,37419
Saturday,Sep,21,2019,2:35,N,ATL,40899
Sunday,Sep,22,2019,3:07,D,ATL,33674
Monday,Apr,3,2017,3:21,N,TEX,48350
Tuesday,Apr,4,2017,3:14,N,TEX,23574
Wednesday,Apr,5,2017,3:25,N,TEX,24649
Friday,Apr,7,2017,2:56,N,TEX,34235
Saturday,Apr,8,2017,2:59,N,TEX,44410
Sunday,Apr,9,2017,3:16,D,TEX,36905
Thursday,Apr,20,2017,3:47,N,TEX,26898
Friday,Apr,21,2017,2:45,N,TEX,31320
Saturday,Apr,22,2017,2:38,N,TEX,41446
Sunday,Apr,23,2017,3:00,D,TEX,37177
Monday,Apr,24,2017,3:01,N,TEX,19027
Tuesday,Apr,25,2017,3:04,N,TEX,20568
Wednesday,Apr,26,2017,3:37,N,TEX,22365
Friday,Apr,28,2017,3:12,N,TEX,28968
Saturday,Apr,29,2017,3:03,N,TEX,44597
Sunday,Apr,30,2017,3:23,D,TEX,39804
Monday,May,1,2017,2:59,N,HOU,22556
Tuesday,May,2,2017,3:13,N,HOU,26208
Wednesday,May,3,2017,3:01,N,HOU,27439
Thursday,May,4,2017,3:52,D,HOU,27391
Wednesday,May,10,2017,3:24,N,TEX,24350
Thursday,May,11,2017,2:39,N,TEX,22405
Friday,May,12,2017,2:58,N,TEX,35625
Saturday,May,13,2017,3:26,N,TEX,37898
Sunday,May,14,2017,2:51,D,TEX,35157
Tuesday,May,16,2017,2:44,N,TEX,23110
Wednesday,May,17,2017,2:48,N,TEX,28703
Thursday,May,18,2017,3:12,D,TEX,35007
Monday,May,29,2017,3:48,N,TEX,35914
Tuesday,May,30,2017,3:14,N,TEX,22942
Wednesday,May,31,2017,3:45,N,TEX,24410
Friday,Jun,2,2017,2:58,N,TEX,39729
Saturday,Jun,3,2017,3:46,N,TEX,44168
Sunday,Jun,4,2017,3:18,D,TEX,39204
Tuesday,Jun,6,2017,3:19,N,TEX,32617
Wednesday,Jun,7,2017,3:10,N,TEX,32477
Monday,Jun,12,2017,3:23,N,HOU,25698
Tuesday,Jun,13,2017,3:07,N,HOU,27615
Wednesday,Jun,14,2017,3:37,N,HOU,37221
Friday,Jun,16,2017,3:07,N,TEX,33960
Saturday,Jun,17,2017,2:54,D,TEX,35928
Sunday,Jun,18,2017,3:43,D,TEX,31552
Monday,Jun,19,2017,3:48,N,TEX,25115
Tuesday,Jun,20,2017,3:06,N,TEX,24169
Wednesday,Jun,21,2017,3:20,N,TEX,28376
Thursday,Jun,22,2017,3:07,D,TEX,26764
