Day of Week,Month,Day,Year,Start (ET),HomeTeam,Attend.
Sun,Jan,1,2017,6:00p,Atlanta Hawks,18088
Sun,Jan,1,2017,6:00p,Miami Heat,19844
Mon,Jan,2,2017,8:00p,Houston Rockets,16569
Tue,Jan,3,2017,8:30p,Dallas Mavericks,19318
Thu,Jan,5,2017,8:00p,Houston Rockets,18055
Thu,Jan,5,2017,8:30p,Dallas Mavericks,19570
Sat,Jan,7,2017,8:30p,Dallas Mavericks,19655
Tue,Jan,10,2017,8:00p,Houston Rockets,16196
Fri,Jan,13,2017,8:00p,Atlanta Hawks,18216
Fri,Jan,13,2017,8:00p,Houston Rockets,18055
Sun,Jan,15,2017,2:00p,Dallas Mavericks,19655
Sun,Jan,15,2017,3:00p,Atlanta Hawks,14231
Tue,Jan,17,2017,7:30p,Miami Heat,19600
Wed,Jan,18,2017,8:00p,Houston Rockets,15782
Thu,Jan,19,2017,7:30p,Miami Heat,19600
Fri,Jan,20,2017,8:00p,Atlanta Hawks,16328
Fri,Jan,20,2017,8:00p,Houston Rockets,18055
Fri,Jan,20,2017,8:30p,Dallas Mavericks,19421
Sat,Jan,21,2017,7:00p,Atlanta Hawks,15116
Sat,Jan,21,2017,7:30p,Miami Heat,19600
Sun,Jan,22,2017,3:30p,Dallas Mavericks,19484
Mon,Jan,23,2017,7:30p,Atlanta Hawks,12853
Mon,Jan,23,2017,7:30p,Miami Heat,19600
Wed,Jan,25,2017,8:30p,Dallas Mavericks,19750
Fri,Jan,27,2017,8:00p,Atlanta Hawks,16968
Sat,Jan,28,2017,7:30p,Miami Heat,19600
Sun,Jan,29,2017,3:00p,Atlanta Hawks,13643
Mon,Jan,30,2017,7:30p,Miami Heat,19600
Mon,Jan,30,2017,8:30p,Dallas Mavericks,20202
Tue,Jan,31,2017,8:00p,Houston Rockets,15187
Wed,Feb,1,2017,7:30p,Miami Heat,19600
Wed,Feb,1,2017,8:30p,Dallas Mavericks,19263
Thu,Feb,2,2017,8:00p,Houston Rockets,15602
Fri,Feb,3,2017,8:00p,Houston Rockets,18055
Sat,Feb,4,2017,7:00p,Atlanta Hawks,16691
Sat,Feb,4,2017,7:30p,Miami Heat,19754
Mon,Feb,6,2017,7:30p,Atlanta Hawks,13126
Tue,Feb,7,2017,8:00p,Houston Rockets,15514
Tue,Feb,7,2017,8:30p,Dallas Mavericks,19326
Wed,Feb,8,2017,7:30p,Atlanta Hawks,14222
Thu,Feb,9,2017,8:30p,Dallas Mavericks,19883
Sat,Feb,11,2017,9:00p,Dallas Mavericks,20052
Sat,Feb,11,2017,9:00p,Houston Rockets,18055
Mon,Feb,13,2017,7:30p,Miami Heat,19600
Mon,Feb,13,2017,8:30p,Dallas Mavericks,20159
Wed,Feb,15,2017,8:00p,Houston Rockets,16967
Fri,Feb,24,2017,8:00p,Atlanta Hawks,18122
Sat,Feb,25,2017,8:00p,Miami Heat,19600
Sat,Feb,25,2017,8:30p,Dallas Mavericks,20411
Sat,Feb,25,2017,9:00p,Houston Rockets,18055
Mon,Feb,27,2017,8:30p,Dallas Mavericks,19539
