Date,Time,Year,HomeTeam
"Thursday, September 10, 2020",1:00PM,2017,Houston Texans
"Thursday, September 10, 2020",8:30PM,2017,Dallas Cowboys
"Thursday, September 17, 2020",8:30PM,2017,Atlanta Falcons
"Thursday, October 1, 2020",9:30AM,2017,Miami Dolphins
"Thursday, October 1, 2020",1:00PM,2017,Houston Texans
"Thursday, October 1, 2020",1:00PM,2017,Dallas Cowboys
"Thursday, October 1, 2020",1:00PM,2017,Atlanta Falcons
"Thursday, October 8, 2020",1:00PM,2017,Miami Dolphins
"Thursday, October 8, 2020",4:25PM,2017,Dallas Cowboys
"Thursday, October 8, 2020",8:30PM,2017,Houston Texans
"Thursday, October 15, 2020",1:00PM,2017,Atlanta Falcons
"Thursday, October 15, 2020",1:00PM,2017,Houston Texans
"Thursday, October 22, 2020",1:00PM,2017,Miami Dolphins
"Thursday, November 5, 2020",1:00PM,2017,Houston Texans
"Thursday, November 5, 2020",4:25PM,2017,Dallas Cowboys
"Thursday, November 5, 2020",8:30PM,2017,Miami Dolphins
"Thursday, November 12, 2020",4:25PM,2017,Atlanta Falcons
"Thursday, November 19, 2020",1:00PM,2017,Houston Texans
"Thursday, November 19, 2020",1:00PM,2017,Miami Dolphins
"Thursday, November 19, 2020",8:30PM,2017,Dallas Cowboys
"Monday, November 23, 2020",4:30PM,2017,Dallas Cowboys
"Thursday, November 26, 2020",1:00PM,2017,Atlanta Falcons
"Monday, November 30, 2020",8:25PM,2017,Dallas Cowboys
"Thursday, December 3, 2020",1:00PM,2017,Atlanta Falcons
"Thursday, December 3, 2020",1:00PM,2017,Miami Dolphins
"Monday, December 7, 2020",8:25PM,2017,Atlanta Falcons
"Thursday, December 10, 2020",1:00PM,2017,Houston Texans
"Friday, December 11, 2020",8:30PM,2017,Miami Dolphins
"Thursday, December 24, 2020",4:25PM,2017,Dallas Cowboys
"Friday, December 25, 2020",4:30PM,2017,Houston Texans
"Thursday, December 31, 2020",4:25PM,2017,Miami Dolphins
"Thursday, December 31, 2020",4:25PM,2017,Atlanta Falcons
"Wednesday, September 9, 2020",1:00PM,2018,Miami Dolphins
"Wednesday, September 16, 2020",1:00PM,2018,Atlanta Falcons
"Wednesday, September 16, 2020",8:20PM,2018,Dallas Cowboys
"Wednesday, September 23, 2020",1:00PM,2018,Houston Texans
"Wednesday, September 23, 2020",1:00PM,2018,Atlanta Falcons
"Wednesday, September 23, 2020",1:00PM,2018,Miami Dolphins
"Wednesday, September 30, 2020",1:00PM,2018,Dallas Cowboys
"Wednesday, September 30, 2020",1:00PM,2018,Atlanta Falcons
"Wednesday, October 7, 2020",8:20PM,2018,Houston Texans
"Wednesday, October 14, 2020",1:00PM,2018,Miami Dolphins
"Wednesday, October 14, 2020",1:00PM,2018,Houston Texans
"Wednesday, October 14, 2020",1:00PM,2018,Atlanta Falcons
"Wednesday, October 14, 2020",4:25PM,2018,Dallas Cowboys
"Wednesday, October 21, 2020",1:00PM,2018,Miami Dolphins
"Thursday, October 22, 2020",8:15PM,2018,Atlanta Falcons
"Sunday, October 25, 2020",8:20PM,2018,Houston Texans
"Wednesday, November 4, 2020",1:00PM,2018,Miami Dolphins
"Thursday, November 5, 2020",8:15PM,2018,Dallas Cowboys
"Wednesday, November 18, 2020",1:00PM,2018,Atlanta Falcons
"Sunday, November 22, 2020",4:30PM,2018,Dallas Cowboys
"Thursday, November 26, 2020",8:15PM,2018,Houston Texans
"Sunday, November 29, 2020",8:20PM,2018,Dallas Cowboys
"Wednesday, December 2, 2020",1:00PM,2018,Houston Texans
"Wednesday, December 2, 2020",1:00PM,2018,Atlanta Falcons
"Wednesday, December 2, 2020",1:00PM,2018,Miami Dolphins
"Wednesday, December 9, 2020",1:00PM,2018,Miami Dolphins
"Wednesday, December 9, 2020",1:00PM,2018,Houston Texans
"Wednesday, December 9, 2020",4:25PM,2018,Dallas Cowboys
"Wednesday, December 16, 2020",1:00PM,2018,Atlanta Falcons
"Wednesday, December 23, 2020",1:00PM,2018,Dallas Cowboys
"Wednesday, December 23, 2020",1:00PM,2018,Miami Dolphins
"Wednesday, December 30, 2020",1:00PM,2018,Houston Texans
"Sunday, January 5, 2020",4:35PM,2019,Houston Texans
"Sunday, January 5, 2020",8:15PM,2019,Dallas Cowboys
"Tuesday, September 8, 2020",1:00PM,2019,Miami Dolphins
"Tuesday, September 8, 2020",4:25PM,2019,Dallas Cowboys
"Tuesday, September 15, 2020",1:00PM,2019,Miami Dolphins
"Tuesday, September 15, 2020",1:00PM,2019,Houston Texans
"Tuesday, September 15, 2020",8:20PM,2019,Atlanta Falcons
"Tuesday, September 22, 2020",1:00PM,2019,Dallas Cowboys
"Tuesday, September 29, 2020",1:00PM,2019,Houston Texans
"Tuesday, September 29, 2020",1:00PM,2019,Miami Dolphins
"Tuesday, September 29, 2020",1:00PM,2019,Atlanta Falcons
"Tuesday, October 6, 2020",1:00PM,2019,Houston Texans
"Tuesday, October 6, 2020",4:25PM,2019,Dallas Cowboys
"Tuesday, October 13, 2020",1:00PM,2019,Miami Dolphins
"Tuesday, October 20, 2020",1:00PM,2019,Atlanta Falcons
"Tuesday, October 20, 2020",8:20PM,2019,Dallas Cowboys
"Tuesday, October 27, 2020",1:00PM,2019,Atlanta Falcons
"Tuesday, October 27, 2020",4:25PM,2019,Houston Texans
"Tuesday, November 3, 2020",1:00PM,2019,Miami Dolphins
"Tuesday, November 10, 2020",8:20PM,2019,Dallas Cowboys
"Tuesday, November 17, 2020",1:00PM,2019,Miami Dolphins
"Saturday, November 21, 2020",8:20PM,2019,Houston Texans
"Tuesday, November 24, 2020",1:00PM,2019,Atlanta Falcons
"Saturday, November 28, 2020",4:30PM,2019,Dallas Cowboys
"Saturday, November 28, 2020",8:20PM,2019,Atlanta Falcons
"Tuesday, December 1, 2020",1:00PM,2019,Miami Dolphins
"Tuesday, December 1, 2020",8:20PM,2019,Houston Texans
"Tuesday, December 8, 2020",1:00PM,2019,Houston Texans
"Tuesday, December 8, 2020",1:00PM,2019,Atlanta Falcons
"Tuesday, December 15, 2020",4:25PM,2019,Dallas Cowboys
"Tuesday, December 22, 2020",1:00PM,2019,Atlanta Falcons
"Tuesday, December 22, 2020",1:00PM,2019,Miami Dolphins
"Tuesday, December 29, 2020",4:25PM,2019,Houston Texans
"Tuesday, December 29, 2020",4:25PM,2019,Dallas Cowboys
"Saturday, January 4, 2020",4:35PM,2020,Houston Texans
