City,Date,Day of Week,JoinID,MLBGame,MLB_Attendance,NBAGame,NBA_Attendance,NFLGame,NFL_Attendance,State
Miami,2017-04-11,Tuesday,2017-04-11MiamiFL,1,36519,0,0,0,0,FL
Miami,2017-04-12,Wednesday,2017-04-12MiamiFL,1,16808,0,0,0,0,FL
Atlanta,2017-04-14,Friday,2017-04-14AtlantaGA,1,41149,0,0,0,0,GA
Atlanta,2017-04-15,Saturday,2017-04-15AtlantaGA,1,41149,0,0,0,0,GA
Atlanta,2017-04-16,Sunday,2017-04-16AtlantaGA,1,37147,0,0,0,0,GA
Atlanta,2017-04-17,Monday,2017-04-17AtlantaGA,1,24516,0,0,0,0,GA
Atlanta,2017-04-18,Tuesday,2017-04-18AtlantaGA,1,21834,0,0,0,0,GA
Atlanta,2017-04-19,Wednesday,2017-04-19AtlantaGA,1,22101,0,0,0,0,GA
Atlanta,2017-04-20,Thursday,2017-04-20AtlantaGA,1,27498,0,0,0,0,GA
Atlanta,2017-05-01,Monday,2017-05-01AtlantaGA,1,21668,0,0,0,0,GA
Atlanta,2017-05-02,Tuesday,2017-05-02AtlantaGA,1,21359,0,0,0,0,GA
Atlanta,2017-05-03,Wednesday,2017-05-03AtlantaGA,1,22656,0,0,0,0,GA
Atlanta,2017-05-05,Friday,2017-05-05AtlantaGA,1,34465,0,0,0,0,GA
Atlanta,2017-05-06,Saturday,2017-05-06AtlantaGA,1,40706,0,0,0,0,GA
Atlanta,2017-05-07,Sunday,2017-05-07AtlantaGA,1,40200,0,0,0,0,GA
Houston,2017-05-09,Tuesday,2017-05-09HoustonTX,1,28724,0,0,0,0,TX
Houston,2017-05-10,Wednesday,2017-05-10HoustonTX,1,23676,0,0,0,0,TX
Miami,2017-05-12,Friday,2017-05-12MiamiFL,1,20052,0,0,0,0,FL
Miami,2017-05-13,Saturday,2017-05-13MiamiFL,1,26692,0,0,0,0,FL
Miami,2017-05-14,Sunday,2017-05-14MiamiFL,1,17277,0,0,0,0,FL
Atlanta,2017-05-17,Wednesday,2017-05-17AtlantaGA,1,28293,0,0,0,0,GA
Atlanta,2017-05-18,Thursday,2017-05-18AtlantaGA,1,25419,0,0,0,0,GA
Atlanta,2017-05-19,Friday,2017-05-19AtlantaGA,1,35369,0,0,0,0,GA
Atlanta,2017-05-20,Saturday,2017-05-20AtlantaGA,1,37347,0,0,0,0,GA
Atlanta,2017-05-21,Sunday,2017-05-21AtlantaGA,1,32895,0,0,0,0,GA
Atlanta,2017-05-22,Monday,2017-05-22AtlantaGA,1,21896,0,0,0,0,GA
Atlanta,2017-05-23,Tuesday,2017-05-23AtlantaGA,1,25040,0,0,0,0,GA
Atlanta,2017-05-24,Wednesday,2017-05-24AtlantaGA,1,25981,0,0,0,0,GA
Atlanta,2017-05-25,Thursday,2017-05-25AtlantaGA,1,33713,0,0,0,0,GA
Atlanta,2017-06-05,Monday,2017-06-05AtlantaGA,1,20942,0,0,0,0,GA
Atlanta,2017-06-06,Tuesday,2017-06-06AtlantaGA,1,23489,0,0,0,0,GA
Atlanta,2017-06-07,Wednesday,2017-06-07AtlantaGA,1,24185,0,0,0,0,GA
Atlanta,2017-06-08,Thursday,2017-06-08AtlantaGA,1,25095,0,0,0,0,GA
Atlanta,2017-06-09,Friday,2017-06-09AtlantaGA,1,36791,0,0,0,0,GA
Atlanta,2017-06-10,Saturday,2017-06-10AtlantaGA,1,27684,0,0,0,0,GA
