Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,HOU,@,TBR,W,5,1,,1-0,2,1.0,Verlander,Snell,,2:38,D,25025,+,
2,Friday Mar 29,boxscore,HOU,@,TBR,L,2,4,,1-1,2,1.0,Morton,Cole,Alvarado,2:38,N,13059,-,
3,Saturday Mar 30,boxscore,HOU,@,TBR,L,1,3,,1-2,3,2.0,Glasnow,McHugh,Alvarado,2:40,N,16010,--,
4,Sunday Mar 31,boxscore,HOU,@,TBR,L,1,3,,1-3,4,3.0,Chirinos,Miley,Castillo,2:12,D,18473,---,
5,Monday Apr 1,boxscore,HOU,@,TEX,W,2,1,,2-3,4,3.0,Peacock,Sampson,Osuna,2:39,N,18056,+,
6,Tuesday Apr 2,boxscore,HOU,@,TEX,L,4,6,,2-4,4,4.0,Kelley,Valdez,Leclerc,3:23,N,17907,-,
7,Wednesday Apr 3,boxscore,HOU,@,TEX,L,0,4,,2-5,4,4.5,Minor,Cole,,2:39,N,22265,--,
8,Friday Apr 5,boxscore,HOU,,OAK,W,3,2,,3-5,4,3.5,McHugh,Montas,Osuna,3:03,N,43165,+,
9,Saturday Apr 6,boxscore,HOU,,OAK,W,6,0,,4-5,4,3.5,Miley,Brooks,,2:47,N,34487,++,
10,Sunday Apr 7,boxscore,HOU,,OAK,W-wo,9,8,,5-5,2,3.5,Osuna,Treinen,,3:39,D,34902,+++,
11,Monday Apr 8,boxscore,HOU,,NYY,W,4,3,,6-5,2,3.5,Pressly,Ottavino,Osuna,2:59,N,27631,++++,
12,Tuesday Apr 9,boxscore,HOU,,NYY,W,6,3,,7-5,2,3.5,Rondon,Green,Osuna,3:15,N,31009,+++++,
13,Wednesday Apr 10,boxscore,HOU,,NYY,W,8,6,,8-5,2,3.5,McHugh,Paxton,Pressly,3:30,N,27685,++++++,
14,Friday Apr 12,boxscore,HOU,@,SEA,W,10,6,,9-5,2,3.0,Peacock,Armstrong,Osuna,3:22,N,30972,+++++++,
15,Saturday Apr 13,boxscore,HOU,@,SEA,W,3,1,,10-5,2,2.0,Verlander,Hernandez,Osuna,2:46,N,30538,++++++++,
