Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,MIA,,COL,L,3,6,,0-1,3,1.0,Freeland,Urena,,2:55,D,25423,-,
2,Friday Mar 29,boxscore,MIA,,COL,L,1,6,,0-2,5,1.5,Marquez,Conley,,3:04,N,6503,--,
3,Saturday Mar 30,boxscore,MIA,,COL,W,7,3,,1-2,3,1.5,Lopez,Anderson,,3:00,N,7642,+,
4,Sunday Mar 31,boxscore,MIA,,COL,W,3,0,,2-2,3,1.5,Alcantara,Gray,Romo,2:32,D,7559,++,
5,Monday Apr 1,boxscore,MIA,,NYM,L,3,7,,2-3,3,2.0,Familia,Steckenrider,,3:10,N,6489,-,
6,Tuesday Apr 2,boxscore,MIA,,NYM,L,5,6,,2-4,3,3.0,Vargas,Urena,Wilson,3:23,N,5934,--,
7,Wednesday Apr 3,boxscore,MIA,,NYM,L,4,6,,2-5,5,3.5,deGrom,Richards,Diaz,3:07,N,7486,---,
8,Friday Apr 5,boxscore,MIA,@,ATL,L,0,4,,2-6,5,4.0,Gausman,Lopez,,2:35,N,29218,----,
9,Saturday Apr 6,boxscore,MIA,@,ATL,W,4,2,,3-6,5,3.5,Romo,Minter,Conley,3:16,N,35618,+,
10,Sunday Apr 7,boxscore,MIA,@,ATL,L-wo,3,4,,3-7,5,4.0,Vizcaino,Conley,,2:33,D,32551,-,
11,Tuesday Apr 9,boxscore,MIA,@,CIN,L,0,14,,3-8,5,4.5,Castillo,Urena,,2:47,N,10058,--,
12,Wednesday Apr 10,boxscore,MIA,@,CIN,L,1,2,,3-9,5,4.5,Garrett,Steckenrider,Iglesias,2:47,N,11375,---,
13,Thursday Apr 11,boxscore,MIA,@,CIN,L,0,5,,3-10,5,5.5,Stephenson,Lopez,,2:51,D,11192,----,
14,Friday Apr 12,boxscore,MIA,,PHI,L,1,9,,3-11,5,6.5,Arrieta,Alcantara,,2:46,N,9322,-----,
15,Saturday Apr 13,boxscore,MIA,,PHI,W,10,3,,4-11,5,5.5,Smith,Eflin,,3:01,N,13828,+,
16,Sunday Apr 14,boxscore,MIA,,PHI,L,1,3,14,4-12,5,6.0,Arano,Chen,Alvarez,4:38,D,15238,-,
17,Monday Apr 15,boxscore,MIA,,CHC,L,2,7,,4-13,5,6.5,Darvish,Richards,,3:27,N,9888,--,
18,Tuesday Apr 16,boxscore,MIA,,CHC,L,0,4,,4-14,5,7.0,Quintana,Lopez,,2:49,N,8137,---,
19,Wednesday Apr 17,boxscore,MIA,,CHC,L,0,6,,4-15,5,8.0,Hamels,Alcantara,,2:25,N,10247,----,
20,Friday Apr 19,boxscore,MIA,,WSN,W,3,2,,5-15,5,6.5,Smith,Sanchez,Romo,2:52,N,8199,+,
21,Saturday Apr 20,boxscore,MIA,,WSN,W,9,3,,6-15,5,6.5,Urena,Scherzer,,3:12,N,9910,++,
22,Sunday Apr 21,boxscore,MIA,,WSN,L,0,5,,6-16,5,6.5,Strasburg,Richards,,2:45,D,7412,-,
23,Tuesday Apr 23,boxscore,MIA,@,CLE,W,3,1,,7-16,5,6.0,Lopez,Ramirez,Romo,2:42,N,12963,+,
24,Wednesday Apr 24,boxscore,MIA,@,CLE,L,2,6,,7-17,5,6.0,Wittgren,Conley,,2:53,D,13046,-,
